entity,cidr
us-east-1,176.32.125.254/31
us-east-2,15.230.39.0/31
ca-central-1,52.93.75.0/24
ap-southeast-1,52.94.248.32/28
ap-southeast-1,52.219.40.0/22
ap-northeast-1,52.219.136.0/22
eu-west-1,54.220.0.0/16
us-west-2,100.20.0.0/14
us-west-2,150.222.74.0/24
us-east-1,176.32.125.236/31
us-east-2,52.94.248.160/28
us-west-1,54.151.0.0/17
eu-south-1,15.161.0.0/16
eu-south-1,52.93.129.95/32
cn-north-1,54.222.52.0/22
ap-northeast-1,64.252.110.0/24
eu-central-1,99.77.158.0/24
us-east-2,18.188.0.0/16
us-gov-east-1,18.252.0.0/16
eu-west-1,46.51.128.0/18
ap-southeast-2,64.252.107.0/24
GLOBAL,64.252.128.0/18
me-south-1,99.82.152.0/22
us-east-1,99.82.167.0/24
ap-southeast-1,150.222.108.0/24
af-south-1,150.222.208.72/31
us-west-2,176.32.125.128/26
GLOBAL,205.251.254.0/24
ap-south-1,13.232.0.0/14
ap-northeast-1,52.95.243.0/24
af-south-1,150.222.208.84/31
us-east-2,3.5.132.0/23
eu-north-1,13.53.0.0/16
sa-east-1,13.248.114.0/24
sa-east-1,15.177.88.0/24
eu-west-2,52.94.48.0/20
eu-south-1,54.240.236.61/32
ap-northeast-2,99.78.188.0/22
us-east-1,184.72.128.0/17
us-east-1,205.251.248.0/24
us-east-2,15.230.39.38/31
us-east-2,15.230.39.168/31
us-east-2,15.230.39.204/31
ca-central-1,52.94.80.0/20
ap-southeast-2,52.94.198.112/28
eu-west-1,54.240.197.0/24
GLOBAL,71.152.0.0/17
us-east-2,108.166.232.0/21
GLOBAL,216.137.32.0/19
eu-west-3,35.181.0.0/16
eu-west-2,52.93.138.252/32
us-east-1,54.80.0.0/13
us-west-2,54.214.0.0/16
ap-southeast-1,54.254.0.0/16
us-east-2,99.78.176.0/21
ap-northeast-1,13.248.98.0/24
us-east-2,15.230.39.16/31
us-east-2,15.230.39.78/31
us-east-1,52.20.0.0/14
us-east-1,52.94.201.0/26
ca-central-1,52.94.248.208/28
us-west-1,52.219.20.0/22
us-west-1,52.219.24.0/21
eu-west-3,99.82.161.0/24
GLOBAL,204.246.172.0/24
af-south-1,13.244.0.0/15
sa-east-1,52.94.248.48/28
us-east-1,54.242.0.0/15
sa-east-1,177.72.240.0/21
us-east-1,216.182.238.0/23
us-west-2,34.208.0.0/12
us-east-2,52.15.0.0/16
eu-west-3,52.144.209.128/26
us-east-1,150.222.224.0/24
eu-south-1,150.222.243.15/32
us-west-1,15.221.16.0/22
us-east-2,15.230.39.94/31
ca-central-1,52.94.96.0/20
us-east-1,52.94.192.0/22
us-gov-west-1,108.175.48.0/22
us-east-2,15.230.39.36/31
us-east-2,18.189.0.0/16
us-east-1,52.95.52.0/22
af-south-1,150.222.208.94/31
us-east-1,52.93.254.0/24
af-south-1,52.95.175.0/24
us-east-1,99.82.175.0/24
GLOBAL,120.52.39.128/27
eu-west-1,162.213.234.0/23
eu-west-1,18.201.0.0/16
us-east-1,52.119.214.0/23
eu-north-1,52.144.215.202/31
ap-southeast-1,54.151.128.0/17
eu-south-1,54.240.236.73/32
GLOBAL,118.193.97.64/26
us-east-1,208.86.88.0/23
us-east-2,15.230.39.74/31
us-east-2,15.230.39.186/31
eu-west-2,18.175.0.0/16
us-west-2,52.46.216.0/22
us-east-2,52.92.76.0/22
us-east-1,54.208.0.0/15
eu-west-1,54.228.0.0/16
eu-south-1,54.240.236.13/32
af-south-1,150.222.208.90/31
us-west-1,150.222.213.41/32
eu-south-1,150.222.243.17/32
ap-south-1,52.93.126.205/32
eu-south-1,52.93.133.181/32
us-west-1,52.95.246.0/24
eu-west-1,52.144.215.2/31
us-east-1,99.83.64.0/21
eu-north-1,13.48.0.0/15
us-east-2,15.230.39.56/31
us-east-2,15.230.39.182/31
us-east-2,15.230.39.230/31
ap-southeast-2,52.64.0.0/17
eu-west-2,52.95.239.0/24
ap-southeast-2,52.119.210.0/23
us-east-1,15.221.24.0/21
us-east-2,15.230.39.188/31
us-east-2,15.230.39.236/31
us-east-2,18.220.0.0/14
us-west-2,52.36.0.0/14
eu-west-2,52.94.112.0/22
sa-east-1,54.94.0.0/16
ap-northeast-2,99.78.184.0/22
eu-west-2,150.222.207.0/24
us-east-1,150.222.237.0/24
ap-northeast-2,52.93.248.0/24
eu-central-1,52.94.198.48/28
me-south-1,52.95.228.0/24
